Product_Description,Description,ASIN,Manufacturer
,"MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.
LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.
WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.
PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.
1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: MBlue; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult",B08YZ5XY31,"Akshaya Rubbers, Hebbal Industrial Area, Mysore"
"Product description
Stylish, affordable and Compact Daypack. Compact & Stylish 1 Compartment 1 Front Quick Access Drwastring Pocket Shoulder Strap Reinforcement","Care Instructions: Hand Wash Only
Compact & Stylish 1 Compartment 1 Front Quick Access Drawstring Pocket Shoulder Strap Reinforcement",B0B5YGP1BV,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025"
"Product description
Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality","Ergonomic Shape : Spacious Compartments : Intuitive Access : Water Resistant : Light-weight
Front Panel made of Premium Faux Leather Fabric : Cushioned Grab Handle : Padded Base : Optimized Back Panel with Premium Cushioning & Airflow Mechanism : Padded 360 Laptop Sleeve with Velcro Fastener Fits Laptop up to 17"" : Premium Long Lasting Zippers & Pullers : Compression Straps on the Sides for Keeping the Contents Compact
Zippered Quick Access Pocket : Elasticated Bottle Pocket : Embedded Organiser : Elasticated Trolley Sleeve on Back Panel",B0BTJ2T26W,Gear Merchandise Pvt Ltd
,"PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 34 Ltrs backpack with Dimension of 35 Cm x 24 Cm x 45 Cm, 3 full size compartments & 2 side pockets, Fits upto 15.6 inches Laptop with elasticated strap lock at just 560 grams.
CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar Leader backpack is a blend of style and utility. A classic design with opulent detailing and aesthetic silhouette adds to your style and keeps your belongings safe.
COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.
BENEFITS: 3 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, 2 side water bottle pockets help keep your goods dry and body hydrated.
VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one LEADER BACKPACK by Polestar.",B08X2KRL8B,No
,"Ample Compartments : The handbag will fulfil all your storage needs with its 3 big compartments and 6 pockets having a capacity of holding 20L of weight. The spacious compartments can keep all your stuff from your ipad, and smartphone to your kid’s diapers or your makeup kit and the side pocket can keep your water bottle or umbrella and take them out anytime without the need of opening and closing the zipper lock every time.
High-quality Polyester : he stylish bag is constructed in premium quality waterproof polyester material which makes it a durable option. You can carry all your stuff with ease as the high-quality material of the bag ensures no breakage or damage to the bag due to weight. The waterproof material saves all your stuff from getting wet and the imported quality zippers ensure that they will not break or lose their shine even after continuous usage.
Soft Fabric : As the bag's fabric is so comfortable to the touch, carrying it won't bother you. The shoulder straps of the bag are made from extra soft material which makes sure that the straps do not cause any itching or irritation even after continuous usage. So, you don't have to be concerned about the straps hurting your shoulders.
Classy and Stylish : The solid finish of the bag gives it a dash of style and class. You can take it anywhere from parties to the office and the bag will be your best style buddy everywhere. No matter if you are an office-going girl or a college girl, you can make a style statement with this bag. Every girl's wardrobe needs this bag because of its flawless finish, which elevates it to must-have status.
Light Feel : Even with all of your belongings inside this high-quality bag, which weighs only 400 grams and won't add to your burden when carried, you'll feel light. The shoulder straps of the bag make sure that it rests perfectly on your shoulders and you don't feel too much weight ensuring that even after carrying the bag for hours, your shoulders won't feel any pain on your shoulders.
Warranty: 6 months domestic warranty on manufacturing defects, Covered in Warranty: Zippers & Sliders, Not Covered in Warranty:Cloth Material, Care Instructions: Do not expose to extreme heat",B099PLT91X,No
"Product description
The Mokobara Transit Backpack is designed for everyday use and for those short 1-2 day trips. With its minimalistic facia and the 180° clamshell opening, this is definitely another kick- a** backpack from Mokobara. Be it the hidden water bottle/umbrella compartment or the retractable key holder, accessibility has been tremendously evolved. This one is our most functional backpack ever","Care Instructions: Wipe with Damp Cloth
CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Water resistant: Yes
MOST FEATURE RICH BACKPACK: Front bucket pocket: Slip pockets, Zippered pocket, Flat opening tech compartment: Pockets to store all your tech accessories, Padded laptop compartment with lock strap, Fits up to a 15.6"" laptop inTransit Backpack - 30L & 15"" laptop in Transit Backpack - 20L
INDUSTRY BEST FUNCTIONAL BACKPACK: 2 Hidden bottle/umbrella pocket, Luggage sleeve, Silicon grab handle, Padded shoulder straps, Easy length adjustment buckles
MAXED OUT STORAGE: Dimension: Transit Backpack - 30L (48 x 31 x 16 cm), Capacity: 30L
MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Care Instruction : Wipe with damp cloth",B09V7R98XC,"Designed By Mokobara Lifestyle Private Limited, Bangalore."
"Product description
Crew is yet another trendy offering from Safari's overnighter laptop backpack ranges. With a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure. Made out of water-resistant fabric & front panel design, it serves a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop compatibility compartment and an additional tablet section, Crew has a total capacity of 40 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add one of Safari's exclusive Overnighter backpacks to your travel collection, whether it be for a short business trip or a weekend getaway!","Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 2-3 days stay. The bag comes with a separate compartment compatible with a laptop.
HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.
COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.
BREATHABLE BACK SUPPORT: Crew 40 is equipped with premium quality back air mesh, made for maximum aeration that prevents overheating & provides ulltimate comfort
Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack",B097JK3X9D,Safari
"Product description
Crew is yet another trendy offering from Safari's overnighter laptop backpack ranges. With a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure. Made out of water-resistant fabric & front panel design, it serves a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop compatibility compartment and an additional tablet section, Crew has a total capacity of 40 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add one of Safari's exclusive Overnighter backpacks to your travel collection, whether it be for a short business trip or a weekend getaway!","Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 2-3 days stay. The bag comes with a separate compartment compatible with a laptop.
HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.
COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.
BREATHABLE BACK SUPPORT: Crew 40 is equipped with premium quality back air mesh, made for maximum aeration that prevents overheating & provides ulltimate comfort
Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack",B097JK3X9D,Safari
,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BR179L65,Acefour Accessories Pvt. Ltd.
,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material. 3x more water resistant material with rainproof zippers and 2.5x more padded shoulder straps
Anti-Theft design, Padded laptop compartment that can fit upto 15.6"" laptop along with a tablet sleeve
Trolley sleeve at the back to secure your luggage, compression straps for the weekend packing
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0C7CQ1MVD,Acefour Accessories Pvt. Ltd.
"Product description
Are you bored with the same old U-shaped backpacks? Are you bored about seeing backpacks that are as thin as sheets of paper? Do you frequently travel away from home for a couple of days? This handcrafted uppercase multi-utility backpack is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 14"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is an ideal everyday backpack. Designed with care.Spacious compartment that can carry 10+ A4-sized books, a set of clothes, and all your essential chargers and electronics. Front access pocket for you to easily carry important small items. Bottle holder on the side. Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys.Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every uppercase multi-utility laptop backpack bought helps reduce 10 1-litre plastic bottles from the planet, helps conserve 130ml of crude oil, and prevents 649g of CO₂ emission.","Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers",B0B8NXYFXL,Acefour Accessories Pvt. Ltd.
"Product description
F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.","2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer.
One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides.
Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps.
World’s best Japanese brand YKK zippers and sliders.
Comes with the F Gear promise of quality and durability.",B097K6KD7W,Uber Fashion Merchandise Pvt Ltd
,"Care Instructions: Machine Wash
<br>Comes with Alii and Aliizey branding(From the house of K LONDON).Its a medium size bag and has detachable Tri-Colour POM POM.Looks stylish & classy.</br>
<br>Ideal for Women.This handbag is high on quality as well as light in weight.Comes with a Zip closure and has a separate pocket for cell phone and 1 zipper pocket.</br>
<br>Perfect for Casual and Formal use.Ideal Birthday or Anniversary gift.Disclaimer : Product color may slightly vary due to photographic lighting sources or your monitor settings.Product Care - Do Not Machine Wash, Spot Clean Only.</br>
<br>Made in Woven Canvas & Jacquard Fabric.Suitable for travel and day outs.Suitable for college girls and working women as well.</br>
<br>The vertical distance(height) is 12.9 inches,horizontal distance(length) is 14.2 inches & depth(base) is 4.7 inches.</br>",B07XGM9CG1,No
,"MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.
LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.
WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.
PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.
1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: MBlue; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult",B08YZ5XY31,"Akshaya Rubbers, Hebbal Industrial Area, Mysore"
"Product description
All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.","Care Instructions: Wipe with Dry Cloth
: Outer Material: Polyester, Color: Blue, Black
: Water resistant
: Capacity: 16 liters; Weight: 180 grams; Dimensions: 42 cms x 28 cms x 14 cms (LxWxH)
: 1 Main compartments
: Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase
Shoulder straps padded with pp foam/ eva sheet. Anti slip fabric / breathable spongy mesh on shoulder stpars",B08GY2ZN96,Gear
,"Care Instructions: Hand Wash Only
Material: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women<br> <br>
Compartments: 4 compartments including 1 main compartment for 15.6 inch laptop, 2 zippers at side, 1 anti-theft zipper at back keeping your wallet, cards and phone safe, 2 additional water pouches, Multiple interior slot pocket for your other belonging such as notebook, tablet, phones, water bottle. USB charging slot with ear phone hole<br> <br>
Capacity: 35-45 litres capacity used for daily office goers. Also used as travelling, hiking, trekking backpack<br> <br>
Accurate air bubbles reduces excess weight and stress by 55 % on your shoulders and Back tough air mesh cushion supports your spinal during long go<br> <br>
Compartment Description: Up To 15 Inches; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult <br>",B07XYTZP4Z,Red Lemon
"Product description
Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!","Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 1-2 days stay. The bag comes with a separate compartment compatible with a laptop and a tablet.
HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.
COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.
BREATHABLE BACK SUPPORT: Seek is equipped with premium quality air mesh in its back panel - A premium quality back air mesh made for maximum aeration, that prevents overheating & provides ulltimate comfort.
Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack",B097JM98M1,Safari
"Product description
How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Heartbeat School Bag.","Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant! Capacity: 27 liters, Weight: 440 g, Dimensions: 43 x 30 x 21 cm Warranty: 12 months
3 Spacious compartment: Store your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Inside Sleeve/File Holder: To keep your school supplies and important files/documents/sheets seperate Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. Keep all your essentials such as wallet, ticket, cosmetics, etc. 1 side pocket: For holding water bottle, clipping pens or pencil or storing other items.
Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!
Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.
Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.",B097JJFF6Z,Safari
"Product description
The Cross Training Duffel from Gear is the optimum solution for an all-purpose duffel bag - whether its the gym, that weekend travel, the training field or the sports arena. Every Gear Bag is tested in real world conditions and crafted with user insights to achieve optimum functionality.","Ergonomically Designed : Spacious with Multiple Pockets : Intuitive Access : Lightweight : Easily Adjustable Shoulder Strap : Cushioned Grab Handle : Padded Base
3 External Zippered Pockets : 1 Mesh Stash Pocket
Outer material type: Polyester
item weight: 340.0 grams",B098FG3GVX,Gear Merchandise Pvt Ltd
,"LARGE CAPACITY: Delta Laptop Backpack for Travel, Business and Work with Lots of Space & Pockets --- Separate laptop compartment that can accommodate laptops up to 15.6 inches, and large main space with store books, wallets, clothes and other daily necessities. Multifunctional pockets in the main compartment can hold pens, cards, keys, etc. to keep your belongings in order. The external front zipper and two side pockets are also good choices for water bottle or umbrella.
DAILY TRAVEL SUPPLIES: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Dimension(L*W*D): 44*32*16 cm
ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.
MULTI-LEVEL ORGANIZER: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.
MADE IN INDIA: TABELITO DELTA Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.The Tabelito Delta casual backpack comes with 6 month of warranty",B0BLK1Z7DQ,Tabelito Trade India
"Product description
Lightweight backpack made of durable double dot polyester fabric","Care Instructions: Hand Wash Only
Laptop Compatibility: Yes, Strap Type: Adjustable,
Outer Material: Polyester, Color Navy Blue
Mesh pockets on both sides to accommodate your sipper or bottle and umbrella
Mesh Padding on back & shoulder strap to provide comfort & better back support",B0BQ6ZPLFK,O2 INDIA
"Product description
Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!","SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 1-2 days stay. The bag comes with a separate compartment compatible with a laptop and a tablet.
HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.
COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.
BREATHABLE BACK SUPPORT: Seek is equipped with premium quality air mesh in its back panel - A premium quality back air mesh made for maximum aeration, that prevents overheating & provides ulltimate comfort.
Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack",B097JMR4M6,Safari
"Product description
Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality","Care Instructions: Hand Wash Only
Ergonomic Fit  : Water Repellent Fabric : Wide Access Compartments : High Quality Prints : Intuitive Organization & Access : Easily Adjustable Anti-Sweat Shoulder Straps : Padded & Cushioned Back Support : Padded Grab Handle : Bartacked Load Points : Heavy Duty Zippers & Pullers : Light-weight",B0BZWLBDV3,Gear
"Product description
Mrtucci Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed.","Care Instructions: Hand Wash Only
MADE OF DURABLE MATERIAL & SOLID : Made of Durable Nylon Fabric with metal zippers. Ensure a secure & long-lasting usage everyday & weekend. Serve you well as professional office work bag.<br><br>
WATER REPELLENT & MULTIPURPOSE : PADDED shoulder Straps offer LIGHT-WEIGHT Carrying, Perfects for business traveling, weekend getaways, shopping, professional office work and other outdoor activities. Also, a perfect college high school student backpack for Boys, girls, teens, women and men.<br><br>
FUNCTIONAL & SAFE : 2 Big Compartments to store more your belongs well and External pocket for Quick access to your basic needs like key, sun glasses and your other valuable items.<br><br>
LOTS OF STORAGE SPACE & POCKETS : One separate Notebook compartment.One spacious packing compartment roomy for daily necessities, Tech electronics accessories. With many pockets make your items organized and easier to find.<br><br>
Lining Description: Polyester; Pattern Name: Self Design; Pocket Description: Utility Pocket; Material Type: Polyester; Color Name: Navy Blue; Age Range Description: Adult; Special Features: Back Padding<br>",B0B1HM2ZGX,Martuci
,"ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartment having the capacity of approx 55 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 4 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser(small pockets inside a office bag for men / office bag for women).
COMFORT WITH QUALITY: This backpack for men has wide, padded and adjustable shoulder straps and padded back for comfort in carrying heavy items. The College Bags for men is stitched properly and Bartacks on every pressure point for extra durability. The backpack for men is made with strong yet light weight polyester fabric with heavy zippers. The laptop bag for men also comes with a Rain cover so that you can travel during rainy season without any problem.
PROUDLY MADE IN INDIA: Half Moon laptop bag for men is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this college bags for men is Made in India by Indians using Indian materials.
QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this Rucksack is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure points for extra strength.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",B09WDGZ32L,Half_Moon
,"Care Instructions: Hand Wash Only
Quality: This Fur Jaden business backpack for 15.6 Inch laptops is made of sturdy oxford fabric which is splash and water resistant and the bag dries quickly and keeps your things dry if caught in a light shower. We use durable and ABS buckles, zips and other accessories which ensure a secure & long-lasting life. Perfect for business, travel, outdoor activities, school and college. Ideal gift for men & women",B094DGX84G,FUR JADEN
"Product description
GLOWIC presents an affordable range of chic, stylish and classy bags. Perfect Look: Designed for the modern woman, we use a variety of trendy and traditional prints that make you and your bag stand out in the crowd. Colourful: Classic colour combinations as well as mix and match of hip patterns make these bags ideal for any occasion. Occasion: be it work, college,travel, event or a party, there is a perfect bag for everything and everyone. Long Lasting: Comfortable and Spacious, light to hold and long lasting, our line of fashionable sling bags and totes are a must have in any wardrobe Available in beautiful prints, eye catching embroidery and brilliant colours, our bags complement your clothes and accentuate your accessories.Available in beautiful prints, eye catching embroidery and brilliant colours, our bags complement your clothes and accentuate your accessories.","Closure: Zipper
Material Type : Canvas
Weight : 450 Gm , Dimensions : 30 x 40 x 14 cm (LxHxW); Water Resistance : no
Special Features : Classic Fashion Style, Multi-Pockets, easily carry your mobile phone, tablet, wallet, cosmetic, water bottle, umbrella and other daily items. This women's casual backpack is a perfect gift for her on Birthdays, Anniversaries, Christmas Day, Valentine's Day to show your care. (Please note : Bag is small in size please check dimension before placing order & Color match may be up/down due to photographic effect)
Pattern Name: Solid; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Closure Type: Zipper; Lining Description: Cotton
Outer Material: Canvas; Inner Material: Polyester; Product: Made in India",B0BGX9W69N,N HUB
